ItemMouthPonyGagSelectHorn,Select Horn Accessory
ItemMouthPonyGagSelectPanel,Select Panel Accessory
ItemMouthPonyGagSelectReins,Select Rein Accessory
ItemMouthPonyGagSelectTop,Select Top Accessory
ItemMouthPonyGagSetb0,SourceCharacter removes the blinders on DestinationCharacter bridle gag.
ItemMouthPonyGagSetb1,SourceCharacter adds blinders to DestinationCharacter bridle gag.
ItemMouthPonyGagSete0,SourceCharacter changes the additional straps on DestinationCharacter bridle gag.
ItemMouthPonyGagSete1,SourceCharacter adds additional straps to DestinationCharacter bridle gag.
ItemMouthPonyGagSete2,SourceCharacter adds decorative flags on DestinationCharacter bridle gag.
ItemMouthPonyGagSetg0,SourceCharacter uses a bit gag on DestinationCharacter bridle gag.
ItemMouthPonyGagSetg1,SourceCharacter removes the gag on DestinationCharacter bridle gag.
ItemMouthPonyGagSetg2,SourceCharacter uses a large bit gag on DestinationCharacter bridle gag.
ItemMouthPonyGagSetg3,SourceCharacter uses a tongue depressor on DestinationCharacter bridle gag.
ItemMouthPonyGagSetg4,SourceCharacter uses a ballgag on DestinationCharacter bridle gag.
ItemMouthPonyGagSetg5,SourceCharacter uses a dildo gag on DestinationCharacter bridle gag.
ItemMouthPonyGagSeth0,SourceCharacter transforms TargetCharacter into a regular pony.
ItemMouthPonyGagSeth1,SourceCharacter transforms TargetCharacter into a magical unicorn.
ItemMouthPonyGagSeth2,SourceCharacter transforms TargetCharacter into a lusty dildocorn.
ItemMouthPonyGagSetp0,SourceCharacter changes the panel on DestinationCharacter bridle gag.
ItemMouthPonyGagSetp1,SourceCharacter adds a panel to DestinationCharacter bridle gag.
ItemMouthPonyGagSetp2,SourceCharacter uses a futuristic ornament on DestinationCharacter panel.
ItemMouthPonyGagSetp3,SourceCharacter uses an ornament of protection on DestinationCharacter panel.
ItemMouthPonyGagSetp4,SourceCharacter uses an ornament of night on DestinationCharacter panel.
ItemMouthPonyGagSetp5,SourceCharacter uses an ornament of light on DestinationCharacter panel.
ItemMouthPonyGagSetp6,SourceCharacter uses a loving ornament on DestinationCharacter panel.
ItemMouthPonyGagSetp7,SourceCharacter uses an equestrian ornament on DestinationCharacter panel.
ItemMouthPonyGagSetp8,SourceCharacter uses a kinky ornament on DestinationCharacter panel.
ItemMouthPonyGagSetp9,SourceCharacter uses a ritual ornament on DestinationCharacter panel.
ItemMouthPonyGagSetr0,SourceCharacter removes the reins on DestinationCharacter bridle gag.
ItemMouthPonyGagSetr1,SourceCharacter adds reins to DestinationCharacter bridle gag.
ItemMouthPonyGagSetr2,SourceCharacter ties a rope to DestinationCharacter bridle gag.
ItemMouthPonyGagSetr3,SourceCharacter ties DestinationCharacter reins to a post.
ItemMouthPonyGagSett0,SourceCharacter removes the top accessory on DestinationCharacter bridle gag.
ItemMouthPonyGagSett1,SourceCharacter adds a plume on DestinationCharacter bridle gag.
ItemMouthPonyGagSett2,SourceCharacter styles DestinationCharacter hair into a mane.
ItemMouthPonyGagSett3,SourceCharacter styles DestinationCharacter hair into a mane.
ItemMouthPonyGagSett4,SourceCharacter styles DestinationCharacter hair into a mohawk.
ItemMouthStitchesCross,Crossed
ItemMouthStitchesSelect,Choose stitches
ItemMouthStitchesSetCross,SourceCharacter stitches DestinationCharacter mouth shut with crossed threads.
ItemMouthStitchesSetSkewed,SourceCharacter stitches DestinationCharacter mouth shut with a spiraling thread.
ItemMouthStitchesSetStraight,SourceCharacter stitches DestinationCharacter mouth shut with vertical threads.
ItemMouthStitchesSetZigZag,SourceCharacter stitches DestinationCharacter mouth shut with a zigzagging thread.
ItemMouthStitchesSkewed,Skewed
ItemMouthStitchesStraight,Straight
ItemMouthStitchesZigZag,Zig Zag
ItemMouthTechnoGagGagged,Gagged
ItemMouthTechnoGagMasked,Masked
ItemMouthTechnoGagSelect,Select type
ItemMouthTechnoGagSetGagged,SourceCharacter change gagged on DestinationCharacter gag.
ItemMouthTechnoGagSetMasked,SourceCharacter change masked on DestinationCharacter gag.
ItemNeckAccessoriesCollarAutoShockUnitModuleAutoPunish,Auto-shock Sensitivity
ItemNeckAccessoriesCollarAutoShockUnitModuleShockLevel,Shock Intensity
ItemNeckAccessoriesCollarAutoShockUnitOptions0,Low
ItemNeckAccessoriesCollarAutoShockUnitOptions1,Medium
ItemNeckAccessoriesCollarAutoShockUnitOptions2,High
ItemNeckAccessoriesCollarAutoShockUnitOptiony0,Off
ItemNeckAccessoriesCollarAutoShockUnitOptiony1,Low
ItemNeckAccessoriesCollarAutoShockUnitOptiony2,Medium
ItemNeckAccessoriesCollarAutoShockUnitOptiony3,High
ItemNeckAccessoriesCollarAutoShockUnitSelectAutoPunish,Select auto-shock sensitivity
ItemNeckAccessoriesCollarAutoShockUnitSelectBase,Select options
ItemNeckAccessoriesCollarAutoShockUnitSelectShockLevel,Select shock intensity
ItemNeckAccessoriesCollarAutoShockUnitSets0,SourceCharacter sets DestinationCharacter AssetName to low intensity.
ItemNeckAccessoriesCollarAutoShockUnitSets1,SourceCharacter sets DestinationCharacter AssetName to moderate intensity.
ItemNeckAccessoriesCollarAutoShockUnitSets2,SourceCharacter sets DestinationCharacter AssetName to high intensity.
ItemNeckAccessoriesCollarAutoShockUnitSety0,SourceCharacter sets DestinationCharacter AssetName to manual mode.
ItemNeckAccessoriesCollarAutoShockUnitSety1,SourceCharacter sets DestinationCharacter AssetName to low sensitivity.
ItemNeckAccessoriesCollarAutoShockUnitSety2,SourceCharacter sets DestinationCharacter AssetName to medium sensitivity.
ItemNeckAccessoriesCollarAutoShockUnitSety3,SourceCharacter sets DestinationCharacter AssetName to maximum sensitivity.
ItemNeckAccessoriesCollarNameTagAngel,Angel
ItemNeckAccessoriesCollarNameTagBadGirl,Bad Girl
ItemNeckAccessoriesCollarNameTagBindMe,Bind Me
ItemNeckAccessoriesCollarNameTagBitch,Bitch
ItemNeckAccessoriesCollarNameTagBlank,____
ItemNeckAccessoriesCollarNameTagBoobs,Boobs
ItemNeckAccessoriesCollarNameTagCupcake,Cupcake
ItemNeckAccessoriesCollarNameTagDevil,Devil
ItemNeckAccessoriesCollarNameTagDom,Dom
ItemNeckAccessoriesCollarNameTagFree,Free
ItemNeckAccessoriesCollarNameTagFuckMe,Fuck Me
ItemNeckAccessoriesCollarNameTagGagMe,GagMe
ItemNeckAccessoriesCollarNameTagGoddess,Goddess
ItemNeckAccessoriesCollarNameTagGoodGirl,Good Girl
ItemNeckAccessoriesCollarNameTagHoldMe,Hold Me
ItemNeckAccessoriesCollarNameTagJewel,Jewel
ItemNeckAccessoriesCollarNameTagLivestockAnimal,Animal
ItemNeckAccessoriesCollarNameTagLivestockBlank,____
ItemNeckAccessoriesCollarNameTagLivestockBreedMe,BreedMe
ItemNeckAccessoriesCollarNameTagLivestockCow,Cow
ItemNeckAccessoriesCollarNameTagLivestockMeat,Meat
ItemNeckAccessoriesCollarNameTagLivestockMilkMe,MilkMe
ItemNeckAccessoriesCollarNameTagLivestockPig,Pig
ItemNeckAccessoriesCollarNameTagLivestockSelect,Select what tag you want to use
ItemNeckAccessoriesCollarNameTagLivestockSet,SourceCharacter uses a NameTagType livestock name tag on DestinationCharacter collar.
ItemNeckAccessoriesCollarNameTagLove,Love
ItemNeckAccessoriesCollarNameTagLoverBlank,____
ItemNeckAccessoriesCollarNameTagLoverCookie,Cookie
ItemNeckAccessoriesCollarNameTagLoverFeather,Feather
ItemNeckAccessoriesCollarNameTagLoverLover,Lover
ItemNeckAccessoriesCollarNameTagLoverMuffin,Muffin
ItemNeckAccessoriesCollarNameTagLoverSelect,Select what tag you want to use
ItemNeckAccessoriesCollarNameTagLoverSet,SourceCharacter uses a NameTagType lover name tag on DestinationCharacter collar.
ItemNeckAccessoriesCollarNameTagMaid,Maid
ItemNeckAccessoriesCollarNameTagMeat,Meat
ItemNeckAccessoriesCollarNameTagMiss,Miss
ItemNeckAccessoriesCollarNameTagMummy,Mummy
ItemNeckAccessoriesCollarNameTagNeedy,Needy
ItemNeckAccessoriesCollarNameTagNice,Nice
ItemNeckAccessoriesCollarNameTagOvalAnalSlut,AnalSlut
ItemNeckAccessoriesCollarNameTagOvalBabe,Babe
ItemNeckAccessoriesCollarNameTagOvalBandit,Bandit
ItemNeckAccessoriesCollarNameTagOvalBimbo,Bimbo
ItemNeckAccessoriesCollarNameTagOvalBlank,____
ItemNeckAccessoriesCollarNameTagOvalBratty,Bratty
ItemNeckAccessoriesCollarNameTagOvalButtSlut,ButtSlut
ItemNeckAccessoriesCollarNameTagOvalChair,Chair
ItemNeckAccessoriesCollarNameTagOvalChaste,Chaste
ItemNeckAccessoriesCollarNameTagOvalCrazy,Crazy
ItemNeckAccessoriesCollarNameTagOvalCumslut,Cumslut
ItemNeckAccessoriesCollarNameTagOvalCutie,Cutie
ItemNeckAccessoriesCollarNameTagOvalDamsel,Damsel
ItemNeckAccessoriesCollarNameTagOvalDoll,Doll
ItemNeckAccessoriesCollarNameTagOvalEdgeMe,EdgeMe
ItemNeckAccessoriesCollarNameTagOvalEvil,Evil
ItemNeckAccessoriesCollarNameTagOvalForSale,ForSale
ItemNeckAccessoriesCollarNameTagOvalGreedy,Greedy
ItemNeckAccessoriesCollarNameTagOvalHappy,Happy
ItemNeckAccessoriesCollarNameTagOvalHorny,Horny
ItemNeckAccessoriesCollarNameTagOvalKinky,Kinky
ItemNeckAccessoriesCollarNameTagOvalLady,Lady
ItemNeckAccessoriesCollarNameTagOvalLockMe,LockMe
ItemNeckAccessoriesCollarNameTagOvalNude,Nude
ItemNeckAccessoriesCollarNameTagOvalNurse,Nurse
ItemNeckAccessoriesCollarNameTagOvalNympho,Nympho
ItemNeckAccessoriesCollarNameTagOvalPainslut,Painslut
ItemNeckAccessoriesCollarNameTagOvalPillow,Pillow
ItemNeckAccessoriesCollarNameTagOvalPunish,Punish
ItemNeckAccessoriesCollarNameTagOvalRobber,Robber
ItemNeckAccessoriesCollarNameTagOvalSad,Sad
ItemNeckAccessoriesCollarNameTagOvalSelect,Select what tag you want to use
ItemNeckAccessoriesCollarNameTagOvalSet,SourceCharacter uses a NameTagType oval name tag on DestinationCharacter collar.
ItemNeckAccessoriesCollarNameTagOvalSwitch,Switch
ItemNeckAccessoriesCollarNameTagOvalTable,Table
ItemNeckAccessoriesCollarNameTagOvalTicklish,Ticklish
ItemNeckAccessoriesCollarNameTagOvalUndress,Undress
ItemNeckAccessoriesCollarNameTagOvalVictim,Victim
ItemNeckAccessoriesCollarNameTagOvalViolent,Violent
ItemNeckAccessoriesCollarNameTagOvalWorm,Worm
ItemNeckAccessoriesCollarNameTagOwned,Owned
ItemNeckAccessoriesCollarNameTagPetBlank,____
ItemNeckAccessoriesCollarNameTagPetBunny,Bunny
ItemNeckAccessoriesCollarNameTagPetCat,Cat
ItemNeckAccessoriesCollarNameTagPetDog,Dog
ItemNeckAccessoriesCollarNameTagPetFoxy,Foxy
ItemNeckAccessoriesCollarNameTagPetKitten,Kitten
ItemNeckAccessoriesCollarNameTagPetKitty,Kitty
ItemNeckAccessoriesCollarNameTagPetMochi,Mochi
ItemNeckAccessoriesCollarNameTagPetMummy,Mummy
ItemNeckAccessoriesCollarNameTagPetPanda,Panda
ItemNeckAccessoriesCollarNameTagPetPet,Pet
ItemNeckAccessoriesCollarNameTagPetPetMe,PetMe
ItemNeckAccessoriesCollarNameTagPetPixie,Pixie
ItemNeckAccessoriesCollarNameTagPetPony,Pony
ItemNeckAccessoriesCollarNameTagPetPuppy,Puppy
ItemNeckAccessoriesCollarNameTagPetRacoon,Racoon
ItemNeckAccessoriesCollarNameTagPetSelect,Select what tag you want to use
ItemNeckAccessoriesCollarNameTagPetSet,SourceCharacter uses a NameTagType pet name tag on DestinationCharacter collar.
ItemNeckAccessoriesCollarNameTagPetSloth,Sloth
ItemNeckAccessoriesCollarNameTagPrecious,Precious
ItemNeckAccessoriesCollarNameTagPudding,Pudding
ItemNeckAccessoriesCollarNameTagQueen,Queen
ItemNeckAccessoriesCollarNameTagSelect,Select what tag you want to use
ItemNeckAccessoriesCollarNameTagSet,SourceCharacter uses a NameTagType name tag on DestinationCharacter collar.
ItemNeckAccessoriesCollarNameTagSlave,Slave
ItemNeckAccessoriesCollarNameTagSlut,Slut
ItemNeckAccessoriesCollarNameTagSub,Sub
ItemNeckAccessoriesCollarNameTagSweetie,Sweetie
ItemNeckAccessoriesCollarNameTagTaken,Taken
ItemNeckAccessoriesCollarNameTagToy,Toy
ItemNeckAccessoriesCollarNameTagUseless,Useless
ItemNeckAccessoriesCollarNameTagUseMe,Use Me
ItemNeckAccessoriesCollarNameTagWhore,Whore
ItemNeckAccessoriesCollarShockUnitHigh,High
ItemNeckAccessoriesCollarShockUnitLow,Low
ItemNeckAccessoriesCollarShockUnitMedium,Medium
ItemNeckAccessoriesCollarShockUnitSelect,Select shock intensity
ItemNeckAccessoriesCollarShockUnitSetHigh,SourceCharacter sets DestinationCharacter AssetName to high intensity.
ItemNeckAccessoriesCollarShockUnitSetLow,SourceCharacter sets DestinationCharacter AssetName to low intensity.
ItemNeckAccessoriesCollarShockUnitSetMedium,SourceCharacter sets DestinationCharacter AssetName to moderate intensity.
ItemNeckAccessoriesCustomCollarTagModuleFont,Font
ItemNeckAccessoriesCustomCollarTagModuleTag,Tag
ItemNeckAccessoriesCustomCollarTagModuleTxt,Text
ItemNeckAccessoriesCustomCollarTagOptiont0,Metal plate
ItemNeckAccessoriesCustomCollarTagOptiont1,Livestock
ItemNeckAccessoriesCustomCollarTagOptiont2,Bone
ItemNeckAccessoriesCustomCollarTagOptiont3,Oval
ItemNeckAccessoriesCustomCollarTagOptiont4,Fish
ItemNeckAccessoriesCustomCollarTagOptiont5,Carrot
ItemNeckAccessoriesCustomCollarTagOptionx0,Text
ItemNeckAccessoriesCustomCollarTagSelectBase,Select a module.
ItemNeckAccessoriesCustomCollarTagSelectTag,Configure the tag.
ItemNeckAccessoriesCustomCollarTagSelectTxt,Configure the text.
ItemNeckAccessoriesCustomCollarTagSetTag,SourceCharacter changes the custom name tag on DestinationCharacter collar.
ItemNeckBonedNeckCorsetNoRing,No Ring
ItemNeckBonedNeckCorsetRing,Ring
ItemNeckBonedNeckCorsetSelect,Select ring configuration
ItemNeckBonedNeckCorsetSetNoRing,SourceCharacter removes the ring from DestinationCharacter collar.
ItemNeckBonedNeckCorsetSetRing,SourceCharacter attaches a ring to DestinationCharacter collar.
ItemNeckExtendablePostureCollarModuleCover,Eye cover
ItemNeckExtendablePostureCollarModuleGag,Gag
ItemNeckExtendablePostureCollarModuleHood,Hood
ItemNeckExtendablePostureCollarModuleStyle,Style
ItemNeckExtendablePostureCollarOptionc0,No cover
ItemNeckExtendablePostureCollarOptionc1,Low cover
ItemNeckExtendablePostureCollarOptionc2,Medium cover
ItemNeckExtendablePostureCollarOptionc3,High cover
ItemNeckExtendablePostureCollarOptionc4,Full cover
ItemNeckExtendablePostureCollarOptiong0,None
ItemNeckExtendablePostureCollarOptiong1,Panel
ItemNeckExtendablePostureCollarOptiong2,Ballgag
ItemNeckExtendablePostureCollarOptionh0,None
ItemNeckExtendablePostureCollarOptionh1,Normal
ItemNeckExtendablePostureCollarOptionh10,Grided (no hair)
ItemNeckExtendablePostureCollarOptionh2,Normal (no hair)
ItemNeckExtendablePostureCollarOptionh3,Round
ItemNeckExtendablePostureCollarOptionh4,Round (no hair)
ItemNeckExtendablePostureCollarOptionh5,Small
ItemNeckExtendablePostureCollarOptionh6,Small (no hair)
ItemNeckExtendablePostureCollarOptionh7,Wide
ItemNeckExtendablePostureCollarOptionh8,Wide (no hair)
ItemNeckExtendablePostureCollarOptionh9,Grided
ItemNeckExtendablePostureCollarOptions0,Black
ItemNeckExtendablePostureCollarOptions1,Micro
ItemNeckExtendablePostureCollarSelectBase,Select collar configuration:
ItemNeckExtendablePostureCollarSelectCover,Select cover position:
ItemNeckExtendablePostureCollarSelectGag,Select gag style:
ItemNeckExtendablePostureCollarSelectHood,Select hood style:
ItemNeckExtendablePostureCollarSelectStyle,Select style:
ItemNeckExtendablePostureCollarSetc0,SourceCharacter removes the cover from DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSetc1,SourceCharacter adds a thin cover to DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSetc2,SourceCharacter adds a medium cover to DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSetc3,SourceCharacter adds a thick cover to DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSetc4,SourceCharacter adds a complete cover to DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSetg0,SourceCharacter frees DestinationCharacter mouth from PronounPossesive extendable posture collar.
ItemNeckExtendablePostureCollarSetg1,SourceCharacter adds a panel gag to DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSetg2,SourceCharacter adds a ballgag to DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSeth0,SourceCharacter removes the hood of DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSeth1,SourceCharacter picks a hood with normal openings for DestinationCharacter posture collar.
ItemNeckExtendablePostureCollarSeth10,SourceCharacter picks a hood with grided openings for DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSeth2,SourceCharacter picks a hood with rounded openings for DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSeth3,SourceCharacter picks a hood with small openings for DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSeth4,SourceCharacter picks a hood with wide openings for DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSeth5,SourceCharacter picks a hood with grided openings for DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSeth6,SourceCharacter picks a hood with normal openings for DestinationCharacter posture collar.
ItemNeckExtendablePostureCollarSeth7,SourceCharacter picks a hood with rounded openings for DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSeth8,SourceCharacter picks a hood with small openings for DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSeth9,SourceCharacter picks a hood with wide openings for DestinationCharacter extendable posture collar.
ItemNeckExtendablePostureCollarSets0,SourceCharacter sets DestinationCharacter extendable posture collar style to black.
ItemNeckExtendablePostureCollarSets1,SourceCharacter sets DestinationCharacter extendable posture collar style to micro.
ItemNeckExtendablePostureCollarSets2,SourceCharacter sets DestinationCharacter extendable posture collar style to black.
ItemNeckExtendablePostureCollarSets3,SourceCharacter sets DestinationCharacter extendable posture collar style to micro.
ItemNeckPetSuitShockCollarBraSetHigh,SourceCharacter sets DestinationCharacter AssetName to high intensity.
ItemNeckPetSuitShockCollarBraSetLow,SourceCharacter sets DestinationCharacter AssetName to low intensity.
ItemNeckPetSuitShockCollarBraSetMedium,SourceCharacter sets DestinationCharacter AssetName to moderate intensity.
ItemNeckPetSuitShockCollarModuleShockModule,Shock Module
ItemNeckPetSuitShockCollarOptions0,Disable
